ED,POLL NO.,URBAN,BECKLES,BOBB,DHILLON,FIJI,GOEL,MADDEN,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRAMPTON WEST,,,,,,,,,,,,,,,,,,,,,,,
008,239, ,44,18,95,1,16,0,,,,,,,,,,0,1,0,175,500,"Brampton,Morton Way Public School"
008,240, ,25,11,92,0,12,1,,,,,,,,,,1,1,0,143,433,"Brampton,Morton Way Public School"
008,241, ,26,14,82,0,13,2,,,,,,,,,,2,0,0,139,376,"Brampton,Hickory Wood Public School"
008,242s, ,248,25,75,2,11,7,,,,,,,,,,0,1,0,369,506,"Brampton,Faith Manor"
008,243, ,36,18,45,0,9,4,,,,,,,,,,0,0,0,112,306,"Brampton,St. Brigid Separate School"
008,244, ,48,17,75,0,10,5,,,,,,,,,,0,0,0,155,405,"Brampton,Morton Way Public School"
008,245, ,36,12,102,0,4,0,,,,,,,,,,1,0,0,155,409,"Brampton,Morton Way Public School"
008,246, ,37,18,82,1,9,1,,,,,,,,,,1,1,0,150,421,"Brampton,Morton Way Public School"
008,247, ,18,14,60,0,6,0,,,,,,,,,,1,0,0,99,359,"Brampton,Morton Way Public School"
008,248, ,35,17,62,0,0,1,,,,,,,,,,6,0,0,121,414,"Brampton,Hickory Wood Public School"
008,249, ,21,17,50,1,7,4,,,,,,,,,,8,2,0,110,320,"Brampton,Hickory Wood Public School"
008,250, ,23,12,106,3,9,1,,,,,,,,,,12,0,1,167,488,"Brampton,Hickory Wood Public School"
008,251, ,24,16,86,0,8,1,,,,,,,,,,0,1,0,136,393,"Brampton,Hickory Wood Public School"
008,252s, ,110,9,28,1,8,6,,,,,,,,,,1,0,2,165,174,"Brampton,Grace Manor"
008,253, ,15,6,102,1,7,1,,,,,,,,,,1,0,0,133,414,"Brampton,Pauline Vanier Catholic School"
008,254, ,27,20,86,2,14,1,,,,,,,,,,0,0,0,150,435,"Brampton,Pauline Vanier Catholic School"
008,255, ,24,11,46,1,7,4,,,,,,,,,,0,0,0,93,272,"Brampton,Roberta Bondar Public School"
008,256, ,19,5,68,0,7,2,,,,,,,,,,0,0,0,101,269,"Brampton,Roberta Bondar Public School"
