ED,POLL NO.,URBAN,DUVALL,KIDD,LAW,PATFIELD,PRUE,TEAHEN ,WHITAKER,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BEACHES--EAST YORK,,,,,,,,,,,,,,,,,
005,417, ,8,3,8,4,98,37,5,,,1,1,0,165,355,"Toronto,Agnes McPhail Building"
005,418, ,14,0,13,0,52,24,2,,,0,0,0,105,293,"Toronto,Secord Community Centre"
005,419, ,7,1,12,26,98,54,1,,,0,0,1,200,422,"Toronto,Granada Apartments"
005,420, ,12,0,5,2,49,37,0,,,0,0,0,105,339,"Toronto,Secord Community Centre"
005,421, ,5,0,3,0,16,11,1,,,2,0,0,38,102,"Toronto,Faith Presbyterian Church"
005,422, ,3,0,3,0,19,18,1,,,4,0,0,48,105,"Toronto,Faith Presbyterian Church"
005,423, ,4,0,7,0,24,2,0,,,1,0,0,38,121,"Toronto,Faith Presbyterian Church"
005,424, ,6,0,1,1,15,9,1,,,0,0,0,33,99,"Toronto,Faith Presbyterian Church"
005,425, ,2,1,1,0,21,13,0,,,0,0,0,38,96,"Toronto,Faith Presbyterian Church"
005,426A, ,13,4,4,3,74,95,0,,,1,1,0,195,368,"Toronto,Crescent Town - Recreation Room"
005,426B, ,19,2,7,6,71,94,1,,,0,0,0,200,356,"Toronto,Crescent Town - Recreation Room"
005,426C, ,16,4,7,5,70,88,1,,,0,1,0,192,374,"Toronto,Crescent Town - Recreation Room"
005,427A, ,11,0,5,4,32,73,0,,,0,0,0,125,323,"Toronto,Crescent Town - The Town Hall"
005,427B, ,9,0,0,4,36,54,1,,,0,0,0,104,298,"Toronto,Crescent Town - The Town Hall"
005,428A, ,21,0,0,5,35,53,2,,,15,1,0,132,335,"Toronto,Crescent Town - The Town Hall"
005,428B, ,9,1,8,1,49,54,0,,,6,0,0,128,313,"Toronto,Crescent Town - The Town Hall"
005,429, ,5,0,6,2,21,21,0,,,2,1,0,58,189,"Toronto,Crescent Town - The Town Hall"
005,430, ,19,2,12,0,65,70,2,,,0,1,0,171,374,"Toronto,Secord Community Centre"
005,431, ,12,2,13,0,54,28,0,,,0,0,0,109,296,"Toronto,Main Square Community Centre"
005,432, ,16,1,2,4,39,18,0,,,0,0,0,80,179,"Toronto,Main Square Community Centre"
005,433, ,6,0,11,4,62,52,1,,,0,0,0,136,388,"Toronto,Main Square Community Centre"
005,434, ,15,1,8,6,56,44,0,,,2,1,0,133,286,"Toronto,Main Square Community Centre"
005,435, ,2,1,2,2,25,17,1,,,0,0,0,50,108,"Toronto,L'Espérance"
005,436, ,5,3,1,0,27,26,1,,,0,0,0,63,107,"Toronto,Tobias House"
