ED,POLL NO.,URBAN,CULLEN,JEFFREY,MCCLELLAND,ROWLEY,SINGH,TOTEDA,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRAMPTON--SPRINGDALE,,,,,,,,,,,,,,,,,,,,,,,
007,173, ,12,74,27,1,17,0,,,,,,,,,,3,0,0,134,388,"Brampton,Kingswood Drive Public School"
007,174, ,16,70,41,2,16,3,,,,,,,,,,2,2,0,152,410,"Brampton,Kingswood Drive Public School"
007,175, ,9,48,28,3,11,2,,,,,,,,,,3,0,1,105,301,"Brampton,Kingswood Drive Public School"
007,176, ,13,59,27,0,13,5,,,,,,,,,,0,0,0,117,354,"Brampton,Gordon Graydon Senior Public School"
007,177, ,12,73,54,2,26,5,,,,,,,,,,0,0,1,173,420,"Brampton,Gordon Graydon Senior Public School"
007,178, ,13,42,34,1,17,1,,,,,,,,,,1,1,0,110,396,"Brampton,Madoc Drive Public School"
007,179, ,10,36,58,0,29,2,,,,,,,,,,0,0,0,135,357,"Brampton,Father C.W. Sullivan Catholic School"
007,180, ,13,65,49,0,25,1,,,,,,,,,,0,0,0,153,368,"Brampton,Madoc Drive Public School"
007,181, ,12,69,50,0,22,1,,,,,,,,,,1,0,0,155,372,"Brampton,Madoc Drive Public School"
007,182, ,9,54,57,1,24,0,,,,,,,,,,1,0,0,146,328,"Brampton,Madoc Drive Public School"
007,183, ,17,68,93,1,21,2,,,,,,,,,,0,0,5,207,438,"Brampton,Madoc Drive Public School"
007,184, ,9,60,46,2,22,1,,,,,,,,,,3,0,0,143,390,"Brampton,Sir John A. Macdonald Senior Public School"
007,185, ,10,40,51,0,16,1,,,,,,,,,,0,0,0,118,279,"Brampton,Sir John A. Macdonald Senior Public School"
007,186, ,7,83,34,0,13,0,,,,,,,,,,0,0,0,137,340,"Brampton,Sir John A. Macdonald Senior Public School"
007,187, ,7,67,45,0,18,1,,,,,,,,,,1,0,0,139,380,"Brampton,Sir John A. Macdonald Senior Public School"
007,188, ,9,62,41,2,14,2,,,,,,,,,,1,3,1,135,354,"Brampton,Sir John A. Macdonald Senior Public School"
007,189, ,11,51,45,1,14,3,,,,,,,,,,0,0,0,125,335,"Brampton,Madoc Drive Public School"
007,190, ,14,50,38,1,15,3,,,,,,,,,,1,2,0,124,346,"Brampton,Bramalea Baptist Church"
007,191, ,8,69,67,0,21,1,,,,,,,,,,0,0,0,166,372,"Brampton,Father C.W. Sullivan Catholic School"
