ED,POLL NO.,URBAN,ALEXANDER,CORNELL,HADSKIS,JAMES,OGILVIE,STERLING,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
CARLETON--MISSISSIPPI MILLS,,,,,,,,,,,,,,,,,,,,,,,
013,158, ,2,91,11,0,15,83,,,,,,,,,,0,1,0,203,361,"Kanata,St. Anne Catholic School"
013,159, ,1,59,11,3,16,71,,,,,,,,,,0,0,0,161,322,"Kanata,St. Anne Catholic School"
013,160, ,4,85,8,3,15,60,,,,,,,,,,0,0,0,175,417,"Kanata,St. Anne Catholic School"
013,161, ,0,35,6,0,30,88,,,,,,,,,,0,0,0,159,424,"Pakenham,Stewart Community Centre"
013,162, ,0,46,21,6,40,100,,,,,,,,,,3,2,0,218,407,"Carp,St. Michael's Catholic Elementary School"
013,163, ,1,57,14,2,31,129,,,,,,,,,,0,0,0,234,486,"Carp,St. Michael's Catholic Elementary School"
013,164, ,4,34,14,0,8,81,,,,,,,,,,1,0,1,143,343,"Stittsville,Stittsville Community Centre"
013,165, ,1,45,11,1,10,62,,,,,,,,,,0,0,0,130,321,"Stittsville,A. Lorne Cassidy Elementary School"
013,166, ,5,64,16,2,25,135,,,,,,,,,,0,0,0,247,533,"Stittsville,Holy Spirit Catholic School"
013,167, ,2,61,3,5,18,94,,,,,,,,,,0,0,0,183,352,"Stittsville,Sacred Heart High School"
013,168, ,3,54,6,1,13,107,,,,,,,,,,0,0,0,184,312,"Stittsville,Sacred Heart High School"
013,169, ,1,56,13,0,14,75,,,,,,,,,,0,0,0,159,298,"Stittsville,Sacred Heart High School"
013,170, ,2,48,22,2,16,87,,,,,,,,,,0,0,0,177,392,"Stittsville,Sacred Heart High School"
013,171, ,3,43,30,3,17,119,,,,,,,,,,0,2,0,217,499,"Stittsville,Fringewood Community Centre"
013,172, ,2,99,16,4,29,107,,,,,,,,,,0,0,0,257,490,"Stittsville,Sacred Heart High School"
013,173, ,0,74,15,1,12,103,,,,,,,,,,0,0,0,205,379,"Stittsville,Sacred Heart High School"
013,174, ,1,51,10,0,20,79,,,,,,,,,,0,0,0,161,324,"Stittsville,Sacred Heart High School"
013,175, ,4,102,11,3,12,123,,,,,,,,,,1,1,2,259,656,"Stittsville,Fringewood Community Centre"
013,176, ,3,74,17,0,13,107,,,,,,,,,,2,0,0,216,451,"Stittsville,Fringewood Community Centre"
013,177, ,3,40,17,2,13,67,,,,,,,,,,0,0,0,142,343,"Kanata,John Young Elementary School"
013,178, ,5,70,24,5,32,90,,,,,,,,,,0,0,1,227,467,"Kanata,Bridlewood Community Church of the Nazarene"
013,179, ,5,89,10,1,17,98,,,,,,,,,,0,1,0,221,473,"Kanata,Bridlewood Community Centre"
013,180, ,5,34,12,3,15,40,,,,,,,,,,0,0,0,109,339,"Kanata,Bridlewood Community Centre"
013,181, ,2,53,14,3,27,74,,,,,,,,,,4,0,0,177,373,"Kanata,Bridlewood Community Centre"
013,182A, ,0,82,8,2,25,78,,,,,,,,,,1,1,0,197,426,"Kanata,St. Anne Catholic School"
013,182B, ,3,63,11,2,12,69,,,,,,,,,,1,0,0,161,354,"Kanata,St. Anne Catholic School"
013,183, ,3,73,7,0,11,50,,,,,,,,,,1,0,0,145,273,"Kanata,Bridlewood Community Centre"
013,184, ,2,69,9,0,12,41,,,,,,,,,,1,0,0,134,324,"Kanata,Bridlewood Community Centre"
013,185, ,2,84,13,2,26,90,,,,,,,,,,2,0,0,219,435,"Kanata,St. Anne Catholic School"
013,186, ,3,80,19,4,9,66,,,,,,,,,,2,2,0,185,434,"Kanata,St. Anne Catholic School"
013,187, ,8,89,16,0,16,100,,,,,,,,,,1,1,0,231,442,"Kanata,St. Anne Catholic School"
013,188, ,3,44,15,2,19,100,,,,,,,,,,0,0,0,183,378,"Pakenham,Stewart Community Centre"
013,189, ,3,57,15,2,24,125,,,,,,,,,,0,0,0,226,442,"Carp,St. Michael's Catholic Elementary School"
013,190, ,3,58,22,0,12,78,,,,,,,,,,0,0,0,173,348,"Stittsville,A. Lorne Cassidy Elementary School"
013,191, ,2,49,10,1,3,83,,,,,,,,,,0,2,0,150,327,"Stittsville,Holy Spirit Catholic School"
013,192, ,3,42,6,1,18,83,,,,,,,,,,0,0,0,153,313,"Stittsville,Holy Spirit Catholic School"
013,193, ,2,45,17,0,8,57,,,,,,,,,,0,0,0,129,300,"Stittsville,A. Lorne Cassidy Elementary School"
013,194, ,0,79,13,1,22,96,,,,,,,,,,1,0,0,212,366,"Stittsville,A. Lorne Cassidy Elementary School"
013,195, ,3,72,6,2,14,107,,,,,,,,,,0,0,0,204,386,"Stittsville,Stittsville Community Centre"
013,196, ,5,62,10,0,17,78,,,,,,,,,,0,0,0,172,392,"Stittsville,Stittsville Community Centre"
013,197, ,4,76,26,1,13,117,,,,,,,,,,0,0,0,237,415,"Stittsville,Stittsville Community Centre"
013,198, ,0,50,12,2,29,99,,,,,,,,,,1,0,0,193,389,"Stittsville,Stittsville Community Centre"
013,199, ,2,58,2,0,20,68,,,,,,,,,,1,0,0,151,319,"Stittsville,Holy Spirit Catholic School"
013,200, ,1,47,17,0,26,112,,,,,,,,,,0,0,0,203,390,"Stittsville,Holy Spirit Catholic School"
013,201s, ,0,9,1,1,1,20,,,,,,,,,,0,0,0,32,46,"Stittsville,Stittsville Villa"
013,202s, ,3,10,2,0,4,29,,,,,,,,,,2,1,0,51,89,"Stittsville,Stittsville Villa"
