ED,POLL NO.,URBAN,FERGUSON,LEVAC,MCCREARY,SHELEGY,TURMEL,VAN TILBORG,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRANT,,,,,,,,,,,,,,,,,,,,,,,
009,277, ,3,101,98,27,0,9,,,,,,,,,,0,1,0,239,445,"Brant County,Cainsville Fire & Community Centre"
009,278, ,4,95,55,10,0,29,,,,,,,,,,0,1,0,194,363,"Burford,Blessed Sacrament School"
009,279, ,0,111,78,13,0,20,,,,,,,,,,0,1,2,225,401,"Brant County,Burford District Elementary School"
009,280, ,0,56,86,8,3,11,,,,,,,,,,7,0,0,171,363,"Brant County,Burford District Elementary School"
009,281, ,0,117,57,16,0,17,,,,,,,,,,1,0,0,208,376,"Brantford,Assumption College"
009,282, ,3,125,64,11,0,19,,,,,,,,,,2,2,0,226,405,"Brantford,Agnes G. Hodge Public School"
009,283A, ,0,6,0,1,0,1,,,,,,,,,,0,0,0,8,38,"Six Nations (Part) 40,Six Nations Polytechnic"
009,283B, ,0,20,1,2,0,1,,,,,,,,,,0,0,0,24,65,"Six Nations (Part) 40,Six Nations Polytechnic"
009,284, ,3,119,104,15,0,37,,,,,,,,,,0,0,0,278,499,"Brant County,Burford District Elementary School"
009,285s, ,1,11,4,1,0,3,,,,,,,,,,0,0,0,20,95,"Brant County,Hardy Terrace Long-Term Care"
009,286, ,0,69,71,17,1,26,,,,,,,,,,0,0,0,184,351,"Brant County,Mount Pleasant Public School"
009,287, ,2,51,38,14,2,26,,,,,,,,,,0,0,0,133,270,"Brant County,Burford District Elementary School"
009,288, ,2,100,81,14,4,23,,,,,,,,,,2,0,0,226,426,"Brant County,Mount Pleasant Public School"
009,290, ,2,47,73,21,1,19,,,,,,,,,,1,0,0,164,278,"Brant County,Mount Pleasant Public School"
009,291, ,3,56,71,17,0,20,,,,,,,,,,0,2,0,169,328,"Burford,Blessed Sacrament School"
009,292, ,1,53,69,22,0,19,,,,,,,,,,1,0,0,165,369,"Harley,Harley United Church"
009,293, ,0,81,69,14,2,23,,,,,,,,,,0,0,0,189,349,"Brant County,Mount Pleasant Public School"
009,294-1s, ,0,2,2,0,0,2,,,,,,,,,,0,0,0,6,6,"Six Nations (Part) 40,Iroquois Lodge"
009,294A, ,0,67,7,8,3,17,,,,,,,,,,0,0,0,102,476,"Six Nations (Part) 40,Six Nations Polytechnic"
009,294B, ,0,45,5,2,0,17,,,,,,,,,,0,1,0,70,346,"Six Nations (Part) 40,Six Nations Polytechnic"
009,295, ,2,100,107,34,0,35,,,,,,,,,,2,0,0,280,519,"Brant County,Oakland-Scotland Elementary School"
009,296, ,3,60,71,25,1,18,,,,,,,,,,0,0,0,178,336,"Brant County,Oakland-Scotland Elementary School"
009,297, ,5,142,101,34,5,32,,,,,,,,,,0,0,0,319,574,"Brant County,Oakland Township Community Centre"
009,298, ,4,52,88,29,1,28,,,,,,,,,,0,0,0,202,461,"Brant County,Crossroads Congregational Church"
009,299, ,0,23,8,2,0,4,,,,,,,,,,0,0,0,37,182,"New Credit (Part) 40a,Lloyd S. King Elementary School"
009,400, ,0,63,46,8,17,0,,,,,,,,,,0,0,0,134,213,"Brantford,Hayhurst Village Apartments"
009,401, ,2,48,19,6,2,16,,,,,,,,,,0,0,0,93,125,"Brantford,Southwick Apartments"
009,402, ,2,41,16,0,0,11,,,,,,,,,,2,1,0,73,136,"Brantford,St. Patrick's Elementary School"
