ED,POLL NO.,URBAN,COOK,DEVRIES,HICKS,JOHNSTONE,JOLLEY,MURDOCH,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRUCE--GREY--OWEN SOUND,,,,,,,,,,,,,,,,,,,,,,,
010,223, ,0,1,27,6,27,98,,,,,,,,,,0,0,0,159,349,"Grey Highlands,Osprey Recreation Centre"
010,224, ,0,0,20,7,25,76,,,,,,,,,,1,0,0,129,259,"Hanover,Grace United Church"
010,225, ,0,2,13,3,17,23,,,,,,,,,,3,0,0,61,91,"Durham,St. Peter's and St. Paul's Separate School"
010,226, ,0,5,25,2,53,119,,,,,,,,,,2,0,0,206,346,"Durham,Durham Town Hall"
010,227, ,0,11,16,2,34,49,,,,,,,,,,0,0,0,112,259,"Grey Highlands,Flesherton Kinplex Hall"
010,228, ,0,0,11,1,31,42,,,,,,,,,,0,0,0,85,168,"Grey Highlands,Flesherton Kinplex Hall"
010,229, ,0,0,26,9,52,96,,,,,,,,,,0,0,0,183,384,"Grey Highlands,Flesherton Kinplex Hall"
010,230, ,0,2,57,14,23,74,,,,,,,,,,2,0,0,172,360,"Hanover,James A. Magee Centre"
010,231, ,0,1,18,5,31,47,,,,,,,,,,0,0,0,102,254,"West Grey,Dornoch Hall"
010,232, ,2,1,38,7,25,115,,,,,,,,,,0,0,0,188,443,"West Grey,Durham Community Centre"
010,233s, ,..........................NO POLL HELD........................,,,,,,,,,,,,,,,0,0,0,0,0,"Durham,"
010,234, ,0,1,10,7,27,52,,,,,,,,,,1,0,0,98,187,"Durham,Durham Town Hall"
010,235, ,0,2,24,4,44,105,,,,,,,,,,0,0,0,179,291,"Durham,Durham Town Hall"
010,236, ,0,0,16,7,34,92,,,,,,,,,,0,0,0,149,312,"West Grey,Durham Community Centre"
010,237, ,1,1,19,3,27,70,,,,,,,,,,0,0,0,121,235,"West Grey,Durham Community Centre"
010,238, ,0,3,15,5,42,80,,,,,,,,,,0,1,0,146,256,"Durham,Durham Town Hall"
010,239, ,0,4,31,8,56,116,,,,,,,,,,2,0,0,217,341,"Durham,Durham Town Hall"
010,240, ,1,0,15,7,40,78,,,,,,,,,,0,0,0,141,296,"West Grey,Durham Community Centre"
010,241s, ,1,0,2,1,3,30,,,,,,,,,,0,0,0,37,101,"Durham,Rockwood Terrace"
010,242, ,0,0,3,2,14,42,,,,,,,,,,1,0,1,63,112,"West Grey,Durham Community Centre"
010,243, ,0,0,8,2,16,49,,,,,,,,,,0,1,0,76,111,"Dundalk,Dundalk Old Town Hall"
010,244, ,0,2,6,3,7,45,,,,,,,,,,0,0,0,63,157,"Dundalk,Hopeville Council Chambers"
010,245, ,3,3,21,4,26,70,,,,,,,,,,1,0,0,128,295,"Dundalk,Highpoint Community School"
010,246, ,1,0,19,8,21,77,,,,,,,,,,1,0,0,127,307,"Dundalk,Highpoint Community School"
010,247, ,1,4,24,7,25,74,,,,,,,,,,2,0,0,137,370,"Dundalk,Highpoint Community School"
010,248, ,0,0,29,7,37,82,,,,,,,,,,1,0,0,156,398,"Dundalk,Highpoint Community School"
010,249, ,1,4,50,3,31,44,,,,,,,,,,0,1,0,134,294,"Hanover,John Diefenbaker Secondary School"
010,250, ,0,3,45,5,27,52,,,,,,,,,,0,0,0,132,307,"Hanover,John Diefenbaker Secondary School"
010,251, ,0,4,31,6,27,61,,,,,,,,,,0,0,0,129,310,"Hanover,Grace United Church"
010,252, ,0,0,34,6,6,36,,,,,,,,,,0,0,0,82,210,"Hanover,Grace United Church"
010,253s, ,..........................NO POLL HELD........................,,,,,,,,,,,,,,,0,0,0,0,0,"Hanover,"
010,254, ,1,3,37,9,26,75,,,,,,,,,,0,1,0,152,337,"Hanover,Grace United Church"
010,255, ,1,10,27,7,22,45,,,,,,,,,,0,0,0,112,293,"Hanover,James A. Magee Centre"
010,256, ,0,3,29,5,20,49,,,,,,,,,,0,0,0,106,301,"Hanover,James A. Magee Centre"
010,257, ,0,1,34,10,20,72,,,,,,,,,,0,3,0,140,315,"Hanover,Grace United Church"
010,258, ,0,6,27,8,20,70,,,,,,,,,,1,0,0,132,306,"Hanover,Dawnview Public School"
010,259, ,0,1,66,10,17,77,,,,,,,,,,0,0,0,171,352,"Hanover,Dawnview Public School"
010,260, ,2,7,41,6,16,80,,,,,,,,,,1,1,0,154,333,"Hanover,James A. Magee Centre"
010,261s, ,1,1,3,5,0,26,,,,,,,,,,1,0,0,37,67,"Hanover,Hanover Care Centre"
010,262, ,0,0,40,6,19,76,,,,,,,,,,0,1,0,142,299,"Hanover,James A. Magee Centre"
010,263, ,0,5,73,9,27,104,,,,,,,,,,0,0,0,218,488,"Hanover,Dawnview Public School"
010,264, ,0,5,65,4,16,84,,,,,,,,,,1,1,0,176,308,"Hanover,James A. Magee Centre"
010,265, ,0,4,42,9,33,69,,,,,,,,,,1,0,0,158,291,"Hanover,Dawnview Public School"
010,266, ,0,10,24,9,34,71,,,,,,,,,,0,0,0,148,366,"Hanover,Dawnview Public School"
010,267, ,0,1,20,8,45,51,,,,,,,,,,0,0,0,125,363,"Ayton,Normanby Township Arena Complex"
010,268, ,2,4,30,7,52,86,,,,,,,,,,0,0,0,181,350,"Holstein,Egremont Optimist Community Centre"
010,269, ,1,2,25,8,58,132,,,,,,,,,,1,0,0,227,433,"Neustadt,Neustadt Community Hall"
010,270, ,0,7,29,9,35,73,,,,,,,,,,0,0,0,153,324,"Neustadt,Neustadt Community Hall"
010,271, ,3,3,31,6,42,119,,,,,,,,,,0,0,0,204,359,"Ayton,Normanby Township Arena Complex"
010,272, ,0,5,16,3,21,50,,,,,,,,,,0,0,2,97,166,"Ayton,Normanby Township Arena Complex"
010,273, ,0,1,46,11,73,179,,,,,,,,,,0,1,0,311,381,"Holstein,Egremont Optimist Community Centre"
010,274, ,1,1,19,8,26,63,,,,,,,,,,0,0,0,118,271,"Dundalk,Hopeville Council Chambers"
010,275, ,2,6,21,8,24,53,,,,,,,,,,0,0,0,114,348,"Dundalk,Hopeville Council Chambers"
010,276, ,0,2,18,5,20,66,,,,,,,,,,3,0,0,114,355,"Neustadt,Neustadt Community Hall"
010,277, ,0,3,18,4,17,36,,,,,,,,,,0,0,0,78,173,"Holstein,Egremont Optimist Community Centre"
010,278, ,0,3,9,11,14,63,,,,,,,,,,1,0,0,101,265,"Dundalk,Dundalk Old Town Hall"
010,279, ,0,3,22,4,30,113,,,,,,,,,,1,2,0,175,335,"Neustadt,Neustadt Community Hall"
010,280, ,0,3,15,10,32,110,,,,,,,,,,0,0,1,171,327,"Holstein,Egremont Optimist Community Centre"
010,281, ,1,4,48,9,19,99,,,,,,,,,,0,1,0,181,346,"Holstein,Egremont Optimist Community Centre"
010,400, ,2,1,39,6,41,49,,,,,,,,,,0,0,0,138,254,"Owen Sound,Parkway Apartments"
010,401, ,3,4,37,9,5,65,,,,,,,,,,2,0,0,125,210,"Hanover,The Village Seniors Community"
010,402, ,0,1,10,2,9,23,,,,,,,,,,1,0,0,46,129,"Hanover,Dawnview Public School"
010,Advanced Polls /  ADV001, ,5,16,413,93,692,1127,,,,,,,,,,7,2,0,2355,0,"Owen Sound,Returning Office / Bureau du directeur du scrutin"
010,Advanced Polls /  ADV002, ,1,9,122,41,174,417,,,,,,,,,,3,0,1,768,0,"Markdale,Satellite Office / Bureau satellite"
010,Advanced Polls /  ADV003, ,1,0,41,20,131,203,,,,,,,,,,0,0,0,396,0,"Lion's Head,Rotary Hall"
010,Advanced Polls /  ADV004, ,0,6,148,22,143,437,,,,,,,,,,0,1,0,757,0,"Wiarton,Salvation Army"
010,Advanced Polls /  ADV005, ,0,3,53,23,46,213,,,,,,,,,,2,0,0,340,0,"Dundalk,Dundalk Old Town Hall"
010,Advanced Polls /  ADV006, ,0,3,110,11,242,319,,,,,,,,,,1,0,1,687,0,"Meaford,Meaford Hall"
010,Advanced Polls /  ADV007, ,6,5,60,14,61,220,,,,,,,,,,1,0,0,367,0,"Tara,Tara Fire Hall"
010,Advanced Polls /  ADV008, ,3,28,302,32,160,633,,,,,,,,,,5,1,0,1164,0,"Hanover,Hanover Regional Aquatic Centre"
TOTALS:,, ,145,550,6774,1721,15039,21156,,,,,,,,,,140,73,30,45628,76102,
