ED,POLL NO.,URBAN,DE JONG ,FERREIRA,GARCIA,KOURI,MCKEE ,RUPRECHT,VALDEZ,VENUTO,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
DAVENPORT,,,,,,,,,,,,,,,,,,,,,,,
015,190, ,16,60,6,0,0,44,0,0,,,,,,,,2,0,0,128,317,"Toronto,Alexander Muir/Gladstone Ave Jr & Sr Public School"
015,191, ,26,60,12,0,0,45,1,1,,,,,,,,3,0,0,148,461,"Toronto,Alexander Muir/Gladstone Ave Jr & Sr Public School"
015,400, ,4,27,25,1,0,48,0,1,,,,,,,,1,1,0,108,207,"Toronto,Oakclair Apartment"
015,401, ,19,29,5,0,0,30,1,0,,,,,,,,4,0,0,88,124,"Toronto,Provident Management"
015,402, ,3,43,8,0,1,57,1,0,,,,,,,,0,1,0,114,283,"Toronto,Symington Place"
015,403A, ,2,34,5,0,1,54,2,1,,,,,,,,5,3,1,108,234,"Toronto,Pelham Park Gardens"
015,403B, ,1,39,7,2,2,50,1,1,,,,,,,,1,0,1,105,244,"Toronto,Pelham Park Gardens"
015,404, ,2,8,1,0,0,7,0,0,,,,,,,,0,0,0,18,74,"Toronto,Standard Lofts"
015,405, ,11,36,10,1,1,40,0,2,,,,,,,,0,1,0,102,177,"Toronto,Standard Lofts"
015,406, ,2,23,12,0,2,24,0,0,,,,,,,,0,0,0,63,174,"Toronto,1011 Lansdowne Avenue"
015,407, ,13,28,4,0,2,28,0,0,,,,,,,,3,0,0,78,117,"Toronto,Standard Lofts"
015,408, ,2,27,9,1,4,44,1,1,,,,,,,,0,0,0,89,200,"Toronto,730 St. Clarens Avenue Holdings"
015,409, ,2,24,5,2,3,59,1,0,,,,,,,,3,1,0,100,190,"Toronto,Tamil Co-operative Homes"
015,410, ,9,80,9,0,2,69,1,0,,,,,,,,0,0,0,170,322,"Toronto,Sterling Apartment"
015,411, ,5,64,10,0,1,51,2,0,,,,,,,,1,0,0,134,251,"Toronto,Sterling Apartment"
015,412, ,18,101,10,0,1,89,1,1,,,,,,,,0,0,0,221,397,"Toronto,Sterling Apartment"
015,413, ,9,27,2,0,0,27,2,0,,,,,,,,0,0,0,67,131,"Toronto,Perth Avenue Co-operative"
015,414, ,4,38,14,1,0,111,2,5,,,,,,,,0,0,0,175,346,"Toronto,Rankin Apartments"
015,415, ,6,41,6,2,0,30,0,2,,,,,,,,0,0,0,87,171,"Toronto,Las Flores Villa"
015,416, ,6,22,12,0,0,35,1,1,,,,,,,,1,5,0,83,130,"Toronto,Dufferin Park Apartments"
015,417, ,0,2,3,1,1,36,0,0,,,,,,,,0,1,6,50,118,"Toronto,1525 Dundas Street West"
015,418, ,3,18,6,0,1,56,0,1,,,,,,,,1,3,0,89,149,"Toronto,Terra Nova"
015,419, ,14,20,3,0,0,32,1,1,,,,,,,,0,0,0,71,132,"Toronto,Marquee Apartments"
015,Advanced Polls /  ADV001, ,67,170,46,5,2,159,3,1,,,,,,,,2,2,1,458,0,"Toronto,Returning Office / Bureau du directeur du scrutin"
015,Advanced Polls /  ADV002, ,51,190,44,0,3,204,5,1,,,,,,,,2,2,0,502,0,"Toronto,Wallace Emerson Centre"
015,Advanced Polls /  ADV003, ,23,114,36,1,7,218,3,2,,,,,,,,0,0,0,404,0,"Toronto,J.J. Piccininni Community"
015,Advanced Polls /  ADV004, ,46,218,29,1,4,155,3,1,,,,,,,,3,6,0,466,0,"Toronto,New Horizons Tower"
015,Advanced Polls /  ADV005, ,1,12,6,1,0,19,0,0,,,,,,,,0,0,0,39,0,"Toronto,Ennerdale Road Baptist Church Incorporated"
,,,,,,,,,,,,,,,,,,,,,,,
TOTALS:,, ,3047,10880,2805,114,191,12467,157,152,,,,,,,,243,119,51,30226,65934,
