ED,POLL NO.,URBAN,CROWE,HAINES,HUNDAL,KULAR,NAIL,,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRAMALEA--GORE--MALTON,,,,,,,,,,,,,,,,,,,,,,,
006,414, ,25,6,26,84,1,,,,,,,,,,,1,0,0,143,263,"Brampton,17 Knightsbridge Apartment Building"
006,415, ,23,6,22,53,0,,,,,,,,,,,17,2,0,123,284,"Brampton,5 Kingscross Apartment Building"
006,416, ,24,11,27,94,1,,,,,,,,,,,0,0,0,157,275,"Brampton,21 Knightsbridge Apartment Building"
006,417, ,24,11,47,69,3,,,,,,,,,,,0,2,0,156,351,"Brampton,4 Kingscross Apartment Building"
006,418, ,25,11,15,36,2,,,,,,,,,,,0,0,0,89,190,"Brampton,37 Eastbourne Apartment Building"
006,419, ,14,10,30,39,2,,,,,,,,,,,0,0,0,95,211,"Brampton,15 Eastbourne Apartment Building"
006,420, ,8,2,16,36,0,,,,,,,,,,,2,0,0,64,101,"Mississauga,3425 Morningstar Apartment Building"
006,421, ,10,2,9,39,4,,,,,,,,,,,0,2,0,66,106,"Mississauga,3420 Morningstar Apartment Building"
006,422, ,0,5,14,71,2,,,,,,,,,,,4,0,0,96,175,"Mississauga,7340 Ridgewood Goreway"
006,423, ,18,7,15,50,1,,,,,,,,,,,0,0,0,91,256,"Mississauga,7230 Darcel Apartment Building"
006,424, ,13,5,11,28,2,,,,,,,,,,,1,0,0,60,167,"Mississauga,7170 Darcel Apartment Building"
006,425, ,12,5,26,30,0,,,,,,,,,,,0,0,0,73,135,"Mississauga,7110 Darcel Apartment Building"
006,426, ,7,8,19,38,0,,,,,,,,,,,0,1,0,73,175,"Mississauga,3577 Derry Apartment Building"
006,427, ,15,2,16,64,0,,,,,,,,,,,3,1,0,101,184,"Mississauga,3533 Derry Apartment Building"
006,428, ,9,4,9,54,1,,,,,,,,,,,0,0,0,77,153,"Mississauga,7095 Rexwood Apartment Building"
006,429, ,21,11,38,58,1,,,,,,,,,,,0,1,0,130,281,"Brampton,26 Hanover Apartment Building"
006,430, ,15,21,60,88,2,,,,,,,,,,,0,0,0,186,315,"Brampton,24 Hanover Apartment Building"
006,431, ,19,27,62,87,2,,,,,,,,,,,0,0,0,197,342,"Brampton,22 Hanover Apartment Building"
006,432, ,26,9,26,74,1,,,,,,,,,,,2,1,0,139,313,"Brampton,3 Knightsbridge Apartment Building"
006,433, ,7,5,21,54,0,,,,,,,,,,,0,0,0,87,152,"Brampton,501/503 Balmoral Apartment Buildings"
006,434, ,4,1,23,47,0,,,,,,,,,,,1,0,0,76,157,"Mississauga,3555 Derry Apartment Building"
006,435, ,20,20,28,35,2,,,,,,,,,,,0,1,0,106,183,"Brampton,78 Braemar Apartment (Clark House)"
Advance Polls / Bureaux de vote par anticipation,,,,,,,,,,,,,,,,,,,,,,,
006,Advanced Polls /  ADV001, ,51,39,357,256,7,,,,,,,,,,,7,0,0,717,0,"Brampton,Returning Office / Bureau du directeur du scrutin"
006,Advanced Polls /  ADV002, ,74,80,239,350,13,,,,,,,,,,,5,2,0,763,0,"Brampton,Terry Miller Recreation Centre"
006,Advanced Polls /  ADV003, ,16,9,71,192,2,,,,,,,,,,,2,2,0,294,0,"Brampton,Sandalwood Heights Secondary School"
006,Advanced Polls /  ADV004, ,10,7,61,129,0,,,,,,,,,,,0,0,0,207,0,"Brampton,Calderstone Middle School"
006,Advanced Polls /  ADV005, ,30,27,75,120,2,,,,,,,,,,,1,1,0,256,0,"Brampton,Folkstone Public School"
006,Advanced Polls /  ADV006, ,68,45,275,459,10,,,,,,,,,,,2,0,0,859,0,"Mississauga,Malton Community Centre"
,,,,,,,,,,,,,,,,,,,,,,,
TOTALS:,, ,5016,4120,11934,19106,471,,,,,,,,,,,271,143,25,41086,94116,
