ED,POLL NO.,URBAN,CARMICHAEL,HEALEY,MARTINIUK,MCGARRY,VANDERVET,,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
CAMBRIDGE,,,,,,,,,,,,,,,,,,,,,,,
012,091, ,14,8,111,100,1,,,,,,,,,,,2,0,0,236,454,"Cambridge,Mother Teresa Elementary School"
012,092, ,13,21,45,39,3,,,,,,,,,,,0,0,0,121,275,"Cambridge,Parkway Public School"
012,093, ,14,26,55,45,1,,,,,,,,,,,0,0,0,141,302,"Cambridge,Parkway Public School"
012,093-1s, ,0,1,11,9,22,,,,,,,,,,,1,0,0,44,61,"Cambridge,Marian Residence"
012,094, ,23,33,61,60,2,,,,,,,,,,,0,0,0,179,345,"Cambridge,Preston High School"
012,095, ,24,31,83,75,10,,,,,,,,,,,1,0,0,224,373,"Cambridge,Preston High School"
012,096, ,17,24,80,50,3,,,,,,,,,,,0,1,0,175,357,"Cambridge,Preston High School"
012,097, ,8,34,46,52,3,,,,,,,,,,,0,0,0,143,349,"Cambridge,Preston High School"
012,098, ,19,21,79,51,4,,,,,,,,,,,0,0,0,174,322,"Cambridge,Grand View Public School"
012,099, ,8,19,49,27,1,,,,,,,,,,,0,0,0,104,277,"Cambridge,Grand View Public School"
012,100, ,6,33,43,36,11,,,,,,,,,,,2,0,0,131,290,"Cambridge,Grand View Public School"
012,101, ,2,17,11,10,1,,,,,,,,,,,0,0,0,41,131,"Cambridge,Grand View Public School"
012,102, ,19,15,38,26,0,,,,,,,,,,,0,0,0,98,253,"Cambridge,Grand View Public School"
012,103, ,21,28,51,37,6,,,,,,,,,,,2,0,0,145,357,"Cambridge,Ryerson Public School"
012,104, ,21,33,99,73,2,,,,,,,,,,,0,0,0,228,420,"Cambridge,Ryerson Public School"
012,105, ,1,13,46,34,0,,,,,,,,,,,0,0,0,94,304,"Cambridge,Community Living Cambridge"
012,106, ,8,12,54,50,0,,,,,,,,,,,0,0,0,124,343,"Cambridge,Elgin Street Public School"
012,107, ,10,23,68,54,1,,,,,,,,,,,0,0,0,156,364,"Cambridge,Elgin Street Public School"
012,108, ,8,21,63,48,0,,,,,,,,,,,0,0,0,140,370,"Cambridge,Christ the King Elementary School"
012,109, ,14,45,38,45,2,,,,,,,,,,,1,1,0,146,404,"Cambridge,Elgin Street Public School"
012,110, ,19,24,47,43,2,,,,,,,,,,,0,0,0,135,373,"Cambridge,Christ the King Elementary School"
012,111, ,7,15,40,37,5,,,,,,,,,,,1,0,0,105,315,"Cambridge,Christ the King Elementary School"
012,112, ,4,24,62,48,5,,,,,,,,,,,0,0,0,143,380,"Cambridge,Christ the King Elementary School"
012,113, ,12,12,54,69,0,,,,,,,,,,,1,1,0,149,363,"Cambridge,St. Margaret of Scotland Elementary School"
012,114, ,16,14,54,59,0,,,,,,,,,,,0,1,0,144,338,"Cambridge,St. Margaret of Scotland Elementary School"
012,115, ,19,24,104,115,2,,,,,,,,,,,6,0,0,270,544,"Cambridge,St. Margaret of Scotland Elementary School"
012,116, ,20,16,73,96,0,,,,,,,,,,,1,1,0,207,421,"Cambridge,Clemens Mill Public School"
012,117, ,17,17,81,76,0,,,,,,,,,,,2,0,0,193,441,"Cambridge,Clemens Mill Public School"
012,118, ,18,19,56,64,2,,,,,,,,,,,0,0,0,159,369,"Cambridge,Clemens Mill Public School"
012,119, ,11,20,71,71,2,,,,,,,,,,,0,0,0,175,406,"Cambridge,Clemens Mill Public School"
012,120, ,11,15,74,59,2,,,,,,,,,,,2,0,1,164,394,"Cambridge,Mother Teresa Elementary School"
012,121, ,6,6,50,47,3,,,,,,,,,,,0,1,0,113,280,"Cambridge,Mother Teresa Elementary School"
